AsrClassCode,AsrLandUse1,AsrLanduse2,ColCityBlock,ColParcelId,ColParcel,HANDLE,HighAddrNum,HighAddrSuf,LowAddrNum,LowAddrSuf,NBRHD,ParcelId,SITEADDR,StdUnitNum,StName,StPreDir,StSufDir,StType,ZIP
100,1010,0,175500,17550001100,1100,11755000110,3203,,3203,,21,17559110000,"3203 S 7TH BLVD",,7TH,S,,BLVD,63118
100,1010,0,175500,17550001200,1200,11755000120,3205,,3205,,21,17559120000,"3205 S 7TH BLVD",,7TH,S,,BLVD,63118
100,1110,0,176200,17620000600,600,11762000060,3868,,3868,,18,17629060000,"3868 MARINE AV",,MARINE,,,AV,63118
100,1110,0,179700,17970002100,2100,11797000210,2707,,2707,,22,17979210000,"2707 LEMP AV",,LEMP,,,AV,63118
100,1010,0,180700,18070000700,700,11807000070,1528,,1528,,32,18079070000,"1528 MISSISSIPPI AV",,MISSISSIPPI,,,AV,63104
100,1010,0,181800,18180003560,3560,11818000356,2727,,2727,,31,18189356000,"2727 CAROLINE ST",,CAROLINE,,,ST,63104
100,1110,0,181800,18180004100,4100,11818000410,2747,,2747,,31,18189410000,"2747 CAROLINE ST",,CAROLINE,,,ST,63104
100,1010,0,184700,18470000800,800,11847000080,1605,,1605,,59,18479080000,"1605 N LEFFINGWELL AV",,LEFFINGWELL,N,,AV,63106
100,1110,0,158100,15810000400,400,11581000040,3434,,3434,,19,15819040000,"3434 S COMPTON AV",,COMPTON,S,,AV,63118
100,1120,0,158100,15810000700,700,11581000070,3422,,3422,,19,15819070000,"3422 S COMPTON AV",,COMPTON,S,,AV,63118
100,1120,0,157200,15720000600,600,11572000060,3442,,3442,,19,15729060000,"3442 OREGON AV",,OREGON,,,AV,63118
100,1110,0,157600,15760002800,2800,11576000280,3419,,3419,,19,15769280000,"3419 NEBRASKA AV",,NEBRASKA,,,AV,63118
100,1110,0,158600,15860003500,3500,11586000350,3443,,3443,,30,15869350000,"3443 LOUISIANA AV",,LOUISIANA,,,AV,63118
100,1120,0,159600,15960000500,500,11596000050,3420,,3420,,15,15969050000,"3420 GRACE AV",,GRACE,,,AV,63116
100,1110,0,159600,15960000900,900,11596000090,3622,,3622,,15,15969090000,"3622 MCDONALD AV",,MCDONALD,,,AV,63116
200,5000,0,186300,18630000750,750,11863000075,3619,,3615,,59,18639075000,"3615 DR MARTIN LUTHER KING DR",,DR MARTIN LUTHER KING,,,DR,63106
100,1010,0,186500,18650000100,100,11865000010,3752,,3746,,77,18659010000,"3746 EVANS AV",,EVANS,,,AV,63113
100,1110,0,162100,16210003600,3600,11621000360,3145,,3145,,16,16219360000,"3145 KEOKUK ST",,KEOKUK,,,ST,63118
100,1110,0,162100,16210003700,3700,11621000370,3147,,3147,,16,16219370000,"3147 KEOKUK ST",,KEOKUK,,,ST,63118
100,1120,0,161200,16120001400,1400,11612000140,3422,,3422,,19,16129140000,"3422 MIAMI ST",,MIAMI,,,ST,63118
100,1110,0,161700,16170001000,1000,11617000100,3628,,3628,,19,16179100000,"3628 LOUISIANA AV",,LOUISIANA,,,AV,63118
100,1110,0,161700,16170001100,1100,11617000110,3626,,3626,,19,16179110000,"3626 LOUISIANA AV",,LOUISIANA,,,AV,63118
100,1110,0,161700,16170001200,1200,11617000120,3622,,3622,,19,16179120000,"3622 LOUISIANA AV",,LOUISIANA,,,AV,63118
100,1110,0,161700,16170001300,1300,11617000130,3620,,3620,,19,16179130000,"3620 LOUISIANA AV",,LOUISIANA,,,AV,63118
100,1120,0,162600,16260003500,3500,11626000350,3119,,3119,,16,16269350000,"3119 KEOKUK ST",,KEOKUK,,,ST,63118
100,1110,0,146200,14620002600,2600,11462000260,3535,,3535,,25,14629260000,"3535 HARTFORD ST",,HARTFORD,,,ST,63118
100,1140,0,147200,14720000500,500,11472000050,3122,,3120,,30,14729050000,"3120 NEBRASKA AV",,NEBRASKA,,,AV,63118
100,1140,0,147200,14720000600,600,11472000060,2858,,2856,,30,14729060000,"2856 ARSENAL ST",,ARSENAL,,,ST,63118
100,1010,0,187222,18722202200,2200,11872220220,3727,,3727,,59,18729110000,"3727 ST FERDINAND AV",,ST FERDINAND,,,AV,63113
49,1010,0,187222,18722202300,2300,11872220230,3729,,3729,,59,18729115000,"3729 ST FERDINAND AV",,ST FERDINAND,,,AV,63113
100,1110,0,150100,15010002000,2000,11501000200,3237,,3237,,30,15019200000,"3237 MICHIGAN AV",,MICHIGAN,,,AV,63118
100,1120,0,148000,14800000800,800,11480000080,3156,,3156,,25,14809080000,"3156 S COMPTON AV",,COMPTON,S,,AV,63118
100,1110,0,148000,14800001100,1100,11480000110,3159,,3159,,25,14809110000,"3159 MICHIGAN AV",,MICHIGAN,,,AV,63118
100,1120,0,148800,14880001200,1200,11488000120,3504,,3504,,25,14889120000,"3504 WYOMING ST",,WYOMING,,,ST,63118
199,1140,0,149400,14940003001,3001,11494000300,3342,,3340,,25,14949300000,"3340 S GRAND BLVD",,GRAND,S,,BLVD,63118
100,1130,0,150500,15050003300,3300,11505000330,3021,,3019,,30,15059330000,"3019 UTAH ST",,UTAH,,,ST,63118
100,1110,0,150600,15060000100,100,11506000010,3344,,3344,,30,15069010000,"3344 MINNESOTA AV",,MINNESOTA,,,AV,63118
100,1110,0,150600,15060000300,300,11506000030,3334,,3334,,30,15069030000,"3334 MINNESOTA AV",,MINNESOTA,,,AV,63118
200,5000,0,151100,15110000300,300,11511000030,3342,,3340,,30,15119030000,"3340 OREGON AV",,OREGON,,,AV,63118
200,5000,0,188200,18820000700,700,11882000070,1441,,1441,,59,18829070000,"1441 N GRAND BLVD",,GRAND,N,,BLVD,63106
35,5000,0,188200,18820001000,1000,11882000100,1435,,1427,,59,18829100000,"1427 N GRAND BLVD",,GRAND,N,,BLVD,63106
100,1010,0,153300,15330001710,1710,11533000171,3317,,3315,,22,15339171000,"3315 LEMP AV",,LEMP,,,AV,63118
100,1110,0,151600,15160001800,1800,11516000180,3211,,3211,,30,15169180000,"3211 OHIO AV",,OHIO,,,AV,63118
100,1110,0,151600,15160002000,2000,11516000200,3219,,3219,,30,15169200000,"3219 OHIO AV",,OHIO,,,AV,63118
35,5000,0,152200,15220000200,200,11522000020,3350,,3300,,22,15229020000,"3300 S JEFFERSON AV",,JEFFERSON,S,,AV,63118
100,1110,0,152200,15220000700,700,11522000070,3303,,3303,,22,15229070000,"3303 INDIANA AV",,INDIANA,,,AV,63118
100,1110,0,152200,15220000900,900,11522000090,3311,,3311,,22,15229090000,"3311 INDIANA AV",,INDIANA,,,AV,63118
100,1110,0,152800,15280001400,1400,11528000140,3308,,3308,,22,15289140000,"3308 ILLINOIS AV",,ILLINOIS,,,AV,63118
147,1110,0,152800,15280001501,1501,11528000150,3306,,3306,,22,15289150000,"3306 ILLINOIS AV",,ILLINOIS,,,AV,63118
100,1110,0,136800,13680000500,500,11368000050,3463,,3463,,26,13689050000,"3463 SHENANDOAH AV",,SHENANDOAH,,,AV,63104
100,1110,0,135700,13570000400,400,11357000040,3030,,3030,,26,13579040000,"3030 HAWTHORNE BLVD",,HAWTHORNE,,,BLVD,63104
